Question,Answer,base_response,,final_answer,token_cost,time_cost,recheck_hallucination
How many consecutive years had the Serie A been comprised of 18 teams when Hernan Crespo got injured?,15th consecutive,Serie A had been comprised of 18 teams for 13 consecutive years when Hernan Crespo got injured.,,Serie A had been comprised of 18 teams for 13 consecutive years when Hernan Crespo got injured.,104,3.198173285,
Which ground force of the Austro-Hungarian Dual Monarchy did Jan Romer joined ,The Austro-Hungarian Army,Jan Romer joined the Austro-Hungarian Army.,,Jan Romer joined the Austro-Hungarian Army.,80,2.886604309,
"The county that the community of Milltown, Montana is part of was founded in which year?",1860,"The county that the community of Milltown, Montana is part of was founded in 1864.",,"Missoula County, where Milltown, Montana is located, was founded in 1864.",96,2.229192972,
Are PC Magazine and Sculptural Pursuit both technology publications?,no,"No, PC Magazine is a technology publication, but Sculptural Pursuit is an art publication focusing on sculpture.",,"No, PC Magazine is a technology publication, but Sculptural Pursuit is an art publication focusing on sculpture.",93,2.476942539,
Why is Serena Williams more accomplished than Mariaan de Swardt in her tennis career?,the world No. 1 for the first time,"Serena Williams is more accomplished than Mariaan de Swardt due to her significantly higher number of Grand Slam singles titles (23), total professional singles titles (73), and multiple stints as world No. 1, alongside numerous other records and achievements.",,"Serena Williams is more accomplished than Mariaan de Swardt due to her significantly higher number of Grand Slam singles titles (23), total professional singles titles (73), and multiple stints as world No. 1, alongside numerous other records and achievements.",158,2.047111511,
"Jennifer Gordon received a bachelor of arts degree from which women's liberal arts college in Cambridge, Massachusetts, and functioned as a female coordinate institution for the all-male Harvard College?",Radcliffe College,Jennifer Gordon received a bachelor of arts degree from Radcliffe College.,,Jennifer Gordon received a bachelor of arts degree from Radcliffe College.,99,2.366654634,
Who created the manga series originally serialized from 1994-1995with a superheroine?,Tonde Burin,"Naoko Takeuchi created the manga series *Pretty Guardian Sailor Moon*, which was originally serialized from 1991 to 1997 and featured a superheroine.",,"Naoko Takeuchi created the manga series *Codename: Sailor V*, which was serialized from 1991 to 1997 and featured a superheroine.",120,5.895996332,
"Which documentary was filmed first, Almost Sunrise or Hail! Hail! Rock 'n' Roll?",Hail! Hail! Rock 'n' Roll,*Hail! Hail! Rock 'n' Roll* was filmed first.,,*Hail! Hail! Rock 'n' Roll* was filmed first.,92,2.894447327,
What creature of American folklore gained notoriety in 1964?,Dewey Lake Monster,"The Mothman gained notoriety in 1964 with its first alleged sighting in Point Pleasant, West Virginia.",,"The Mothman gained notoriety in 1966, not 1964, with its first alleged sighting in Point Pleasant, West Virginia.",105,3.058502436,
What profession do Raj Kapoor and Mike Cahill share?,director,Raj Kapoor and Mike Cahill are both film directors.,,Raj Kapoor and Mike Cahill both share the profession of film director.,74,2.297575235,
"The actress who played Laurie Keller in the episode ""Pilot"" of the show Cougartown won what award in 2011?",Critics' Choice Television Award for Best Supporting Actress in a Comedy Series,Busy Philipps won a Critics' Choice Television Award for Best Supporting Actress in a Comedy Series in 2011.,,Busy Philipps won a Critics' Choice Television Award for Best Supporting Actress in a Comedy Series in 2011.,110,2.350485086,
What year was the Argentine singer and actor who both directed and starred in El Tio Disparate born?,1942,"Luis Sandrini, the Argentine singer and actor who both directed and starred in El Tio Disparate, was born in 1905.",,"Luis Sandrini, the Argentine singer and actor who both directed and starred in El Tio Disparate, was born in 1905.",117,2.88914752,
Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,Major John André was hung for assisting Benedict Arnold in his attempt to surrender West Point to the British.,,Major John André was hung for assisting Benedict Arnold in his attempt to surrender West Point to the British.,99,2.656479597,
In what basketball position does the brother of Saulius Kuzminskas play?,small forward,"Saulius Kuzminskas's brother, Darjuš Lavrinovič, plays center.",,"Saulius Kuzminskas's brother, Darjuš Lavrinovič, plays center.",97,2.99720645,
What type of the district is the Downtown Bentonville of the state in the southeastern region of the United States which is home to over 3 million people as of 2017?,business district,Downtown Bentonville is a historic and cultural district.,,Downtown Bentonville is a historic and cultural district.,94,2.90099144,
"What is the name of the genocidal mass slaughter of Tutsi Rwanda, in which Cyprian and Daphrose Rugamba were assassinated?",Rwandan genocide,"The name of the genocidal mass slaughter of Tutsi Rwanda, in which Cyprian and Daphrose Rugamba were assassinated, is the 1994 Genocide Against the Tutsi.",,"The name of the genocidal mass slaughter of Tutsi Rwanda, in which Cyprian and Daphrose Rugamba were assassinated, is the 1994 Genocide Against the Tutsi.",155,2.284439087,
Which fictional MI6 agent is a fictional character created by the British journalist and novelist Ian Fleming in 1952?,Commander James Bond RN,James Bond is the fictional MI6 agent created by Ian Fleming in 1952.,,James Bond is the fictional MI6 agent created by the British journalist and novelist Ian Fleming in 1952.,99,1.74148798,
Kenneth Arnold reported the first unidentified object sighting in what city and state in 1947?,"Mount Rainier, Washington","Kenneth Arnold reported the first unidentified object sighting near Mount Rainier, Washington, in 1947.",,"Kenneth Arnold reported the first unidentified object sighting near Mount Rainier, Washington, in 1947.",96,2.780760288,
Where are Neoregelia and Aloysia known to grow,"temperate climates,","Neoregelia are known to grow in tropical South America, especially Brazil, while Aloysia species are found across the Americas from Canada to Chile and Argentina.",,"Neoregelia are known to grow in tropical South America, especially Brazil, while Aloysia species are found across the Americas from Canada to Chile and Argentina.",117,2.169484854,
In what county is The Third Fitzwilliam Meetinghouse located?,"Cheshire County, New Hampshire",I have no idea.,,"The Third Fitzwilliam Meetinghouse is located in Cheshire County, New Hampshire.",72,2.462597132,
Metro West Ambulance serves event support for the building in Portland formerly known as what?,Rose Garden,Metro West Ambulance serves event support for the Oregon Convention Center.,,The building in Portland formerly known as the Oregon Convention Center was never known by another name.,85,3.680339336,
What is the population of the town that gets it's water supply from Canobie Lake?,"28,776 at the 2010 census","The town that gets its water supply from Canobie Lake is Salem, New Hampshire, which had an estimated population of 30,236 in 2023.",,"The population of Salem, New Hampshire, the town that gets its water supply from Canobie Lake, was estimated to be 30,236 in 2023.",123,2.068907022,
"What is the name of the company manged by Joseph Reiser based in Biel/Bienne, Switzerland?",Omega SA,I have no idea.,,"The company managed by Joseph Reiser based in Biel/Bienne, Switzerland is Reiser & Co. AG.",87,3.25171423,
What was the name of the first biography of Brontë written by the author of Mary Barton?,Elizabeth Gaskell,The name of the first biography of Brontë written by the author of Mary Barton was The Life of Charlotte Brontë.,,The first biography of Brontë written by the author of Mary Barton was titled *The Life of Charlotte Brontë*.,108,2.273584366,
What collegiate division does the team coached by P.W. Underwood play in?,Division I,The team coached by P.W. Underwood plays in NCAA Division II.,,The team coached by P.W. Underwood plays in NCAA Division II.,83,12.45372796,
What was the name of the alum by the Scorpions that contained one of their most famous songs written by Klaus Meine and Herman Rarebell?,Love at First Sting,The album by the Scorpions that contained one of their most famous songs written by Klaus Meine and Herman Rarebell is *Blackout*.,,The album by the Scorpions that contained one of their most famous songs written by Klaus Meine and Herman Rarebell is *Blackout*.,125,3.413054228,
"Which band, Matthew Good Band or Switchfoot is still together?",Switchfoot,Switchfoot is still together.,,Switchfoot is still together.,62,9.610979319,
"Which is a university in Pennsylvania, University of New Haven or Carnegie Mellon University?",Carnegie Mellon University,Carnegie Mellon University is a university in Pennsylvania.,,Carnegie Mellon University is a university in Pennsylvania.,73,2.300178289,
What is the name of the fashion label that the founder of the Faena Arts Center founded in 1985?,Via Vai,Via Vai,,"The fashion label founded in 1985 by Alan Faena, the founder of the Faena Arts Center, is Via Vai.",90,3.02701664,
What is the call sign of the airline that operates the flight with United Express Flight 3411 incident?,Brickyard,The call sign of the airline that operated United Express Flight 3411 is BRICKYARD.,,The call sign of the airline that operated United Express Flight 3411 is BRICKYARD.,98,2.961037636,
What are the names of the co-directors of the psychological horror film starring Emily Browning and Elizabeth Banks?,Charles and Thomas Guard,The co-directors of the psychological horror film starring Emily Browning and Elizabeth Banks are Charles Guard and Thomas Guard.,,The co-directors of the psychological horror film starring Emily Browning and Elizabeth Banks are Charles Guard and Thomas Guard.,105,2.574048758,
"""Aroma-scope"" used in Spy Kids 4 is reminiscent of what marketing gimmick used in Polyester in 1981?","""Odorama""","The ""Aroma-scope"" used in Spy Kids 4 is reminiscent of the ""Odorama"" scratch-and-sniff card gimmick used in Polyester in 1981.",,"The ""Aroma-scope"" used in Spy Kids 4 is reminiscent of the ""Odorama"" scratch-and-sniff card gimmick used in Polyester in 1981.",136,42.60707045,
"Did the host of Splash! win a gold, silver, or bronze Olympic medal?",bronze,"No, the host of Splash!, Gabby Logan, did not win a gold, silver, or bronze Olympic medal.",,"No, the host of Splash!, Gabby Logan, did not win a gold, silver, or bronze Olympic medal.",102,1.401851177,
"On what album is Samuel ""Sam"" Ervin Beam's cover of ""Such Great Heights"" featured?","""Give Up""","Samuel ""Sam"" Ervin Beam's cover of ""Such Great Heights"" is featured on the album *The Evening Star*.",,"Samuel ""Sam"" Ervin Beam's cover of ""Such Great Heights"" is featured on the album *The Evening Star*.",109,2.654580355,
What is the total circulation of the magazine that called Ohio State Route 78 one of the most scenic highways nationwide?,Car and Driver,"Ohio Magazine, which called Ohio State Route 78 one of the most scenic highways nationwide, has a total circulation of around 100,000.",,"Ohio Magazine, which called Ohio State Route 78 one of the most scenic highways nationwide, has a total circulation of around 100,000.",118,2.677658796,
"Between MetroSource and Chicago, which magazine is published more frequently?",Chicago,Chicago magazine is published more frequently than MetroSource.,,Chicago magazine is published more frequently than MetroSource.,70,7.56223011,
"Who has a wider scope of profession,  José Echegaray or Graham Swift?",José Echegaray,"José Echegaray has a wider scope of profession, being a civil engineer, mathematician, minister, and playwright, while Graham Swift is primarily known as a novelist.",,"José Echegaray has a wider scope of profession, being a civil engineer, mathematician, politician, and playwright, whereas Graham Swift is primarily known as a novelist.",129,2.817314625,
What genre does Orkworld and John Wick have in common?,role-playing,Both Orkworld and John Wick belong to the action genre.,,"Based on general knowledge, both Orkworld (a tabletop role-playing game) and John Wick (a film franchise) share the action genre.",92,52.72392106,
Which star of Here Come the Munsters was born in Philadelphia ?,Veronica Hamel,"Edward Herrmann, who played Herman Munster, was born in Washington D.C., and no star of Here Come the Munsters was born in Philadelphia.",,No star of Here Come the Munsters was born in Philadelphia.,94,3.333280087,
What county is the congressional district that Hansen Clarke was a U.S. Representative for in?,Wayne County,"The congressional district that Hansen Clarke was a U.S. Representative for was primarily in Wayne County, Michigan.",,"The congressional district that Hansen Clarke was a U.S. Representative for was primarily in Wayne County, Michigan.",97,2.710890055,
"Which dog is based in Switzerland, Appenzeller Sennenhund or Drentse Patrijshond?",Appenzeller Sennenhund,The Appenzeller Sennenhund is based in Switzerland.,,The Appenzeller Sennenhund is based in Switzerland.,86,3.176675081,
Is the university that owns WCSU-FM historically black or white?,black,"The university that owns WCSU-FM, Western Connecticut State University, is historically white.",,"The university that owns WCSU-FM, Western Connecticut State University, is historically white.",87,2.97273469,
What occupation have Carly Gullickson and Francesca Schiavone both held?,professional tennis player.,Carly Gullickson and Francesca Schiavone have both held the occupation of professional tennis player.,,Carly Gullickson and Francesca Schiavone have both held the occupation of professional tennis player.,97,3.105319262,
What is the age range of the league for which the Bobby Smith Trophy is awarded?,16-21,"The Bobby Smith Trophy is awarded to players in the Quebec Major Junior Hockey League (QMJHL), which primarily features players aged 16 to 20.",,"The Bobby Smith Trophy is awarded to players in the Quebec Major Junior Hockey League (QMJHL), which primarily features players aged 16 to 20.",116,2.492892504,
Which documentary film came out first The Last Lions or Prophet's Prey ?,The Last Lions,*The Last Lions* came out first.,,*Prophet's Prey* came out first.,72,2.546803236,
At what university can the building that served as the fictional household that includes Gomez and Morticia be found?,Syracuse University,I have no idea.,,The building that served as the fictional household for Gomez and Morticia Addams can be found at the University of Southern California.,88,4.095854759,
"Which was released first, The Greatest Game Ever Played or Hot Lead and Cold Feet?",Hot Lead and Cold Feet,Hot Lead and Cold Feet was released first.,,Hot Lead and Cold Feet was released first.,72,2.541774988,
Which award David Hersey had got for Equus a play by Peter Shaffer ?,Outstanding Lighting Design,David Hersey received the Drama Desk Award for Outstanding Lighting Design for his work on the play *Equus*.,,David Hersey received the Drama Desk Award for Outstanding Lighting Design for his work on the play *Equus*.,98,2.76704073,
"Which drink is larger, the Apple-Kneel or the Flaming volcano?",The flaming volcano,I have no idea.,,"The Flaming Volcano is significantly larger than the Apple-Kneel, as it is a large, multi-person communal drink typically served in a bowl, while the Apple-Kneel is a standard single-serving cocktail.",102,3.192364216,
What Andy Williams' album did a song written by Charles Wesley appear on?,The Andy Williams Christmas Album,"A song written by Charles Wesley, ""Hark! The Herald Angels Sing,"" appeared on Andy Williams' 1965 album, *Merry Christmas*.",,"A song written by Charles Wesley, ""Hark! The Herald Angels Sing,"" appeared on Andy Williams' 1965 album, *Merry Christmas*.",114,2.571142673,
Who co-wrote The Hidden History of the Human Race with a man know devotionally as Drutakarma dasa?,Richard L. Thompson,Michael A. Cremo co-wrote *The Hidden History of the Human Race* with a man known devotionally as Drutakarma dasa.,,Michael A. Cremo co-wrote *The Hidden History of the Human Race* with a man known devotionally as Drutakarma dasa.,126,2.358051062,
"What WikiLeaks using whistleblower is notable for having a hacking organization with a user base of over 1,800,000?",Jeremy Hammond,I have no idea.,,"Julian Assange is the WikiLeaks founder notable for having a hacking organization with a user base of over 1,800,000.",92,3.378479481,
"In the 1970s, which group acquired this department store group in the United Kingdom whose co-founding director is the father of Lieutenant Colonel Donald Swain Lewis?",Army & Navy Stores,The Sears Holdings plc group acquired the Selfridges department store group in the United Kingdom in 1971.,,The Sears Holdings plc group acquired the Selfridges department store group in the United Kingdom in 1971.,115,4.264097691,
Who covered the song I Love You by Chris Write?,People! and The Carnabeats,I have no idea.,,"I cannot find any information about a song titled ""I Love You"" by an artist named Chris Write, nor any covers of such a song.",82,2.435346127,
Phoebe Ruguru created a 2014 film on a smartphone marketed by what company?,Apple,Phoebe Ruguru created a 2014 film on a smartphone marketed by Nokia.,,Phoebe Ruguru created a 2014 film on a smartphone marketed by Nokia.,92,2.720046997,
"Charles Barton ""Chuck"" Kendall, Jr. was reportedly interested in purchasing the Los Angeles Clippers from which Jewish-American businessman?",Donald Sterling,"Charles Barton ""Chuck"" Kendall, Jr. was reportedly interested in purchasing the Los Angeles Clippers from Donald Sterling.",,"Charles Barton ""Chuck"" Kendall, Jr. was reportedly interested in purchasing the Los Angeles Clippers from the Jewish-American businessman Donald Sterling.",109,2.254832745,
Evan Williams played for what professional football club that was originally known as St. Luke's FC?,Wolverhampton Wanderers Football Club,Evan Williams played for Wolverhampton Wanderers.,,"Evan Williams played for Wolverhampton Wanderers, which was originally known as St. Luke's FC.",88,2.421185732,
"Who is younger, Wayne Coyne or Toshiko Koshijima?",Toshiko Koshijima,Toshiko Koshijima is younger than Wayne Coyne.,,"Toshiko Koshijima, born on March 3, 1979, is younger than Wayne Coyne, who was born on January 13, 1961.",104,2.269587517,
What was the Volvo S70 essentially modeled after and was the first all wheel drive Volvo?,Volvo 850,"The Volvo S70 was essentially a re-engineered Volvo 850, and it was not the first all-wheel-drive Volvo, as that distinction belongs to the 850 AWD.",,"The Volvo S70 was essentially a re-engineered Volvo 850, and it was not the first all-wheel-drive Volvo, as that distinction belongs to the 850 AWD.",127,3.059070826,
"Meomi Design works include The Octonauts book series, how did the adaptations of the series continue? ",a British children's television series,"After the initial book series by Meomi Design, *The Octonauts* was adapted into a highly successful animated television series, followed by multiple specials and movies.",,"After the initial book series by Meomi Design, *The Octonauts* was adapted into a highly successful animated television series, followed by multiple specials and movies.",125,1.931424618,
"When was the only long-term psychiatric hospital operated founded in a county in the USA with a population of 9,298 in 2010?",in 1877,"The only long-term psychiatric hospital operated in a county in the USA with a population of 9,298 in 2010, the Menninger Clinic, was founded in 1925.",,"The Menninger Clinic, the only long-term psychiatric hospital operated in a county in the USA with a population of 9,298 in 2010, was founded in 1925.",142,2.605424881,
What is the weight limit of the weight class that Takeyasu Hirono fights in?,125 lb (57 kg),I have no idea.,,"Takeyasu Hirono fights in the featherweight class, which has a weight limit of 65.8 kg (145 lbs).",89,2.252921343,
"Ray Roughler Jones single-handedly produced the magazine Roughler, but what Swedish singer-songwriter made contributions to the magazine?",Neneh Cherry,"Jens Lekman, a Swedish singer-songwriter, contributed to Ray Roughler Jones' magazine *Roughler*.",,"Jens Lekman, a Swedish singer-songwriter, contributed to Ray Roughler Jones' magazine *Roughler*.",111,2.946852922,
"Which professional tennis player was born first, Lucie Hradecká or Raffaella Reggi?",Raffaella Reggi,Raffaella Reggi was born first.,,Raffaella Reggi was born first.,79,2.557684183,
Rumble Fish was a novel by the author of the coming-of-age novel published in what year by Viking Press?,1967,"Rumble Fish was a novel by the author of *The Outsiders*, a coming-of-age novel published in 1967 by Viking Press.",,"Rumble Fish was a novel by the author of *The Outsiders*, a coming-of-age novel published in 1967 by Viking Press.",118,11.69688439,
Between Harvey Pekar and Denise Levertov who was born earlier?,Denise Levertov,Denise Levertov was born earlier than Harvey Pekar.,,Denise Levertov was born earlier than Harvey Pekar.,79,2.955325842,
What Brooklyn-based rapper has worked with both Rafeal Casal and Mos Def?,Talib Kweli,Daveed Diggs,,Daveed Diggs is a Brooklyn-based rapper who has worked with both Rafael Casal and Mos Def.,79,2.249756813,
Where does Tiko's Spanish football club hold home games at?,Estadio de López Cortázar,"Tiko's former Spanish football club, Athletic Bilbao, holds home games at San Mamés.",,"Tiko's former Spanish football club, Athletic Bilbao, holds home games at San Mamés.",90,2.012945414,
What is the nickname of a professional German footballer as well as the name of a children's book?,The BFG,"The nickname ""Der Kaiser"" is associated with professional German footballer Franz Beckenbauer and is also the title of several children's books.",,"The nickname ""Der Kaiser"" is associated with professional German footballer Franz Beckenbauer and is also the title of several children's books.",116,1.820758343,
Are Centaurium and Dacrydium both genuses of plant species?,yes,"Yes, Centaurium and Dacrydium are both genuses of plant species.",,"Yes, Centaurium and Dacrydium are both genera of plant species.",91,2.704875708,
"In what year was the Sayrevill, New Jersey rock band that Frankie LaRocka played drums for formed?",1983,"The Sayreville, New Jersey rock band Prophet, which Frankie LaRocka played drums for, was formed in 1983.",,"The Sayreville, New Jersey rock band Prophet, which Frankie LaRocka played drums for, was formed in 1983.",114,2.538635731,
"What area once connected Great Britain to continental Europe, and is thought to have been submerged around 6,200 BCE by a massive landslide along 290 km of the continental shelf?",Doggerland,"Doggerland once connected Great Britain to continental Europe and is thought to have been submerged around 6,200 BCE by a massive landslide along 290 km of the continental shelf.",,"Doggerland once connected Great Britain to continental Europe and is thought to have been submerged around 6,200 BCE by a massive landslide along 290 km of the continental shelf.",145,1.946209669,
"Which is longer, Hampshire and Hampden Canal or Tennessee-Tombigbee Waterway?",Tennessee-Tombigbee Waterway,The Tennessee-Tombigbee Waterway is longer than the Hampshire and Hampden Canal.,,The Tennessee-Tombigbee Waterway is longer than the Hampshire and Hampden Canal.,91,2.12666297,
"How often do trains run on the system which has a terminal station located at the intersection of 32nd Street and Sixth Avenue in the Herald Square neighborhood of Manhattan, New York City?",24 hours a day and 7 days a week,"Trains run on the IND Sixth Avenue Line (B, D, F, M trains) with varying frequencies depending on the time of day and day of the week, typically every 2-10 minutes during peak hours and 5-20 minutes during off-peak hours.",,"Trains on the IND Sixth Avenue Line (B, D, F, M trains) at the 34th Street–Herald Square station run with varying frequencies depending on the time of day and day of the week, typically every 2-10 minutes during peak hours and 5-20 minutes during off-peak hours.",197,2.705807686,
"What Congressional district featured Republican nomiee Willie Vaden in 2004, 2006, and 2008?",Texas's 27th congressional district,"Willie Vaden was the Republican nominee for Kentucky's 1st Congressional District in 2004, 2006, and 2008.",,"Willie Vaden was the Republican nominee for Kentucky's 1st Congressional District in 2004, 2006, and 2008.",121,2.864935637,
"What's the familiar short name of Polyethylene terephthalate, a material used by bottle makers such as Ecopack of Pakistan?",PET,The familiar short name of Polyethylene terephthalate is PET.,,The familiar short name of Polyethylene terephthalate is PET.,96,1.237615347,
"How is Christopher Buckley related to the founder of ""National Review"" magazine?",son,"Christopher Buckley is the son of William F. Buckley Jr., the founder of ""National Review"" magazine.",,"Christopher Buckley is the son of William F. Buckley Jr., the founder of ""National Review"" magazine.",94,1.932955503,
In what type of imprisonment where the inmates Arne Berge helped rescue during operation White Buses?,concentration camp,"During Operation White Buses, Arne Berge helped rescue inmates from German concentration camps.",,"During Operation White Buses, Arne Berge helped rescue inmates from German concentration camps.",93,2.179032803,
"What city, located in Lincoln County, Montana, United States, is Vegepet based in?","Troy, Montana",I have no idea.,,"Vegepet is based in Libby, Montana.",73,15.77906299,
J. Searle Dawley and Ken Annakin were both directors of what?,"Kenneth Cooper ""Ken"" Annakin, OBE (10 August 1914 - 22 April 2009) was a prolific English film director.",J. Searle Dawley and Ken Annakin were both film directors.,,J. Searle Dawley and Ken Annakin were both film directors.,86,3.338185072,
What term is the current chairman of Prince William County serving?,fourth term,"The current chairman of Prince William County, Deshundra Jefferson, is serving her first term, which began in January 2024 and will conclude in December 2027.",,"The current chairman of Prince William County, Deshundra Jefferson, is serving her first term.",103,2.336791039,
Are Hoodoo Gurus and Pierre Bouvier of the same nationality?,no,"No, Hoodoo Gurus are Australian and Pierre Bouvier is Canadian.",,"No, Hoodoo Gurus are Australian and Pierre Bouvier is Canadian.",81,2.433366776,
"What band in the ""Art Wave"" scene is based in Glasgow?",Franz Ferdinand,I have no idea.,,"Franz Ferdinand is a prominent band from the ""Art Wave"" scene that is based in Glasgow.",76,2.515007496,
Pashto is the main language among a diaspora that has it's largest community in which country ?,Pakistan,Pashto is the main language among a diaspora that has its largest community in Pakistan.,,Pashto is the main language among a diaspora that has its largest community in Pakistan.,96,2.587293625,
"Which is the Oil Capital of China, Chaoyang District, Shantou, or Daqing?",Daqing,Daqing is the Oil Capital of China.,,Daqing is the Oil Capital of China.,76,3.022843838,
Are both the Wire Fox Terrier and West Siberian Laika dog breeds?,yes,"Yes, both the Wire Fox Terrier and West Siberian Laika are dog breeds.",,"Yes, both the Wire Fox Terrier and West Siberian Laika are recognized dog breeds.",90,11.69262481,
"The NG postcode area is situated approximately how many miles from Gamston, Rushcliffe?",approximately 3 mi,"The NG postcode area is situated approximately 3 miles from Gamston, Rushcliffe.",,"The NG postcode area is not a single point, but a large region that includes Gamston, Rushcliffe, making the distance zero miles.",99,3.206562519,
Which British racing driver has raced for 7 different teams and won the European Grand Prix in 1999?,Johnny Herbert,Johnny Herbert raced for 7 different teams and won the European Grand Prix in 1999.,,Johnny Herbert is the British racing driver who raced for 7 different teams and won the European Grand Prix in 1999.,103,3.404167652,
Where did the punter for the Dallas Cowboys in the 1980s play college football?,Arizona State University,"The punter for the Dallas Cowboys in the 1980s, Mike Saxon, played college football at San Diego State University.",,"The punter for the Dallas Cowboys in the 1980s, Mike Saxon, played college football at San Diego State University.",110,2.482410431,
The 1966 Football League Cup Final was contested with which team that is based in the West Midlands?,West Bromwich Albion Football Club,"The 1966 Football League Cup Final was contested with West Bromwich Albion, which is based in the West Midlands.",,"The 1966 Football League Cup Final was contested with West Bromwich Albion, which is based in the West Midlands.",108,3.022814274,
"Mike Huckabee took part in the most recent Republican Presidential primaries, which began on what 2016 date?",1-Feb,"Mike Huckabee took part in the most recent Republican Presidential primaries, which began on February 1, 2016.",,"Mike Huckabee took part in the most recent Republican Presidential primaries, which began on February 1, 2016.",104,2.726529598,
What song was number 4 on the charts when a song from FutureSex/LoveSounds was number 1?,Rudebox,"When ""SexyBack"" was number 1 on the Billboard Hot 100, the song at number 4 varied depending on the specific week.",,"When ""SexyBack"" was number 1 on the Billboard Hot 100, the song at number 4 varied depending on the specific week.",118,25.85855317,
Where do the team that John Grant joined after the 1972 World Cup now play their games ?,Halliwell Jones Stadium,"The team John Grant joined after the 1972 World Cup, Leeds United, now play their games at Elland Road.",,"The team John Grant joined after the 1972 World Cup, Leeds United, now play their games at Elland Road.",107,2.715735912,
"After joining Saturday Night Live in 2012, Cecily Strong played which character in the sketch ""What Up with That""?",Piper,"After joining Saturday Night Live in 2012, Cecily Strong played **""The Girl You Wish You Hadn't Started a Conversation With at a Party""** in the sketch ""What Up with That.""",,"After joining Saturday Night Live in 2012, Cecily Strong played ""The Girl You Wish You Hadn't Started a Conversation With at a Party"" in the sketch ""What Up with That.""",144,2.880082846,
Who was responsible for the Soviet-Albanian split?,Nikita Khrushchev,"Both Soviet and Albanian leadership, particularly Nikita Khrushchev and Enver Hoxha, were responsible for the Soviet-Albanian split due to ideological differences, particularly over de-Stalinization, and conflicting national interests.",,"Nikita Khrushchev and Enver Hoxha, representing the Soviet and Albanian leadership respectively, were primarily responsible for the Soviet-Albanian split.",131,3.240788937,
"Which of the steering committee was an American broadcast journalist, best known as anchorman for the ""CBS Evening News"" for 19 years?",Walter Cronkite,"Walter Cronkite was an American broadcast journalist, best known as anchorman for the ""CBS Evening News"" for 19 years.",,"Walter Cronkite was an American broadcast journalist, best known as anchorman for the ""CBS Evening News"" for 19 years.",120,2.806825161,
Who served as the 1st Vice President of Colombia under El Libertador?,Antonio Hilarión Zea Díaz,Francisco de Paula Santander served as the 1st Vice President of Colombia under El Libertador.,,Francisco de Paula Santander served as the 1st Vice President of Colombia under El Libertador.,94,2.918333292,
"What is the surname of the recorder of ""Jupiter (Swallow the Moon)""",Kilcher,"The surname of the recorder of ""Jupiter (Swallow the Moon)"" is Holst.",,"The surname of the composer of ""Jupiter (Swallow the Moon)"" is Holst.",92,2.586831331,
What Labor member of the House of Representatives in the Australian Parliament was a member of the Australian Labor Party Australian Young Labor?,Tony Burke,"Many Labor members of the House of Representatives, including Prime Minister Anthony Albanese, were members of Australian Young Labor.",,"Prime Minister Anthony Albanese, a Labor member of the House of Representatives, was a member of Australian Young Labor.",107,2.758902788,
Are Ash Lieb and Elswyth Thane both artists?,no,"Yes, Ash Lieb and Elswyth Thane are both artists.",,"No, Ash Lieb is an artist, but Elswyth Thane was a novelist.",84,2.871638298,
"What type of mansion was built for the founder of the company marketed the oil engine under the ""Hornsby-Akroyd"" name?",Gothic Revival,"The mansion built for Richard Hornsby, founder of Richard Hornsby & Sons, was the prominent Isaac Newton Centre, formerly a country house.",,"The mansion built for Richard Hornsby, founder of the company that marketed the ""Hornsby-Akroyd"" oil engine, was a prominent country house.",130,2.79640007,
My First Mister co-stars an actor who was best known for his role as what character on the TV series Roseanne?,Dan Conner,"My First Mister co-stars John Goodman, who was best known for his role as Dan Conner on the TV series Roseanne.",,"The actor co-starring in My First Mister who was best known for his role on the TV series Roseanne is John Goodman, who played Dan Conner.",119,2.310779333,
How many households does the network that Di-Gata Defenders plays on in South Africa reach?,1.5 million households,I have no idea.,,"I cannot provide the exact number of households reached by the network that aired Di-Gata Defenders in South Africa, as this information is highly specific, varies over time, and is not readily available in my knowledge base.",105,2.425636768,
"Which was published founded most recently, InStyle or Godey's Lady's Book?",InStyle,InStyle was founded most recently.,,"InStyle was founded in 1994, while Godey's Lady's Book was founded in 1830, making InStyle the more recently founded publication.",95,2.640257359,
Who is older Craig Nicholls or Norman Blake ?,Norman Blake,Norman Blake is older than Craig Nicholls.,,"Norman Blake, born in 1965, is older than Craig Nicholls, who was born in 1977.",81,2.529144287,
Where was the rapper in 13 Dead Men from?,New Orleans,I have no idea.,,"The rapper Kurupt, who appeared in the movie ""13 Dead Men,"" is from Philadelphia, Pennsylvania.",74,3.640173197,
 Thomas Anthony Jankiewicz was best known for penning a film staring an actress who played Fiona Bowa on what NBC sitcom?,About a Boy,Thomas Anthony Jankiewicz was best known for penning a film starring an actress who played Fiona Bowa on *Friends*.,,Thomas Anthony Jankiewicz was best known for penning a film starring an actress who played Fiona Bowa on *Friends*.,117,3.327188253,
"The Ronkonkama railroad station and the town of Islip, New York are near?",Long Island,"The Ronkonkoma railroad station and the town of Islip, New York are near Long Island MacArthur Airport.",,"The Ronkonkoma railroad station and the town of Islip, New York are near Long Island MacArthur Airport.",104,2.355514288,
