Question,Answer,base_response,is_hallucination,final_answer,token_cost,time_cost,recheck_hallucination,,,
How long has Harry Styles been a member of One Direction?,One Direction is no longer active.,"Harry Styles was a member of One Direction for approximately five and a half years, from their formation in July 2010 until their hiatus began in early 2016.",NO,"Harry Styles was a member of One Direction for approximately five and a half years, from July 2010 until early 2016.",110,2.469635963,NO,,,
What is the smallest cube number which can be expressed as the sum of two different positive cube numbers in two different ways?,"According to the Fermat's Last Theorem, it is impossible for a cube number to be a sum of two positive cube numbers.",The smallest cube number which can be expressed as the sum of two different positive cube numbers in two different ways is 1729.,YES,The smallest cube number which can be expressed as the sum of two different positive cube numbers in two different ways is 1729.,113,2.525547028,YES,,,
"What was the text of Donald Trump's first Tweet in 2022, made after his unbanning from Twitter by Elon Musk?",He did not tweet/post in 2022. His first tweet/post was made in 2023.,"Donald Trump was unbanned from Twitter by Elon Musk in November 2022, and he did not make any tweets after his unbanning; his last tweet was made on January 8, 2021.",NO,"Donald Trump did not make any tweets after his unbanning by Elon Musk in November 2022, therefore there was no first tweet in 2022 after his unbanning.",140,2.835397959,NO,,,
How many days are left until the next season of Atlanta airs?,The final season already finished airing in 2022.,"Atlanta concluded with its fourth season in November 2022, and there are no plans for a next season.",NO,"There are no days left until the next season of Atlanta airs, as the show concluded with its fourth season in November 2022 and there are no plans for a fifth season.",108,2.672843933,NO,,,
How much longer will Brittney Griner spend in the Russian prison?,She was released in December 2022 as part of a prisoner swap.,I have no idea.,YES,"Brittney Griner was released from Russian detention on December 8, 2022, in a prisoner exchange.",80,2.985571146,NO,,,
By how many basis points did the Federal Reserve cut interest rates from August to December 2022?,The Federal Reserve increased rates in 2022 to combat inflation.,"The Federal Reserve did not cut interest rates from August to December 2022; instead, they raised rates by 200 basis points during that period.",NO,"The Federal Reserve did not cut interest rates from August to December 2022; instead, they raised rates by 200 basis points during that period.",117,2.6601789,NO,,,
How many children does Leonardo DiCaprio have?,Leonardo DiCaprio does not have any children.,Leonardo DiCaprio does not have any children.,NO,Leonardo DiCaprio does not have any children.,68,2.212148905,NO,,,
How many humans have landed on Mars?,No humans have been to Mars yet.,Zero humans have landed on Mars.,NO,Zero humans have landed on Mars.,59,4.039376497,NO,,,
How many UC schools are there in the United States?,10,There are ten UC schools in the United States.,NO,There are ten UC schools in the United States.,68,3.120029688,NO,,,
Who is the highest-paid coach per season ever on the American television series The Voice?,Ariana Grande,Blake Shelton is widely reported to be the highest-paid coach per season ever on the American television series The Voice.,YES,Blake Shelton is widely reported to be the highest-paid coach per season ever on the American television series The Voice.,100,2.365909338,YES,,,
Who is the CEO of Google?,Sundar Pichai,The CEO of Google is Sundar Pichai.,NO,The CEO of Google is Sundar Pichai.,66,3.30379653,NO,,,
How much does parking cost at the Big E?,$10 ,Parking at the Big E costs $10.,NO,Parking at the Big E costs $10.,65,2.851942778,NO,,,
What is the top-ranked university in the US according to the US News Ranking?,Princeton University,Princeton University and Massachusetts Institute of Technology are tied for the top-ranked university in the US according to the 2024-2025 US News Best National Universities Ranking.,NO,Princeton University and Massachusetts Institute of Technology are tied for the top-ranked university in the US according to the 2024-2025 US News Best National Universities Ranking.,120,2.718052626,NO,,,
What's the world record time for running a mile?,03:43.1,"The world record time for running a mile is 3 minutes, 43.13 seconds, set by Hicham El Guerrouj.",NO,"The world record time for running a mile is 3 minutes, 43.13 seconds, set by Hicham El Guerrouj.",108,2.344030857,NO,,,
How many grand slams does Rafael Nadal have?,22,Rafael Nadal has 22 Grand Slam titles.,NO,Rafael Nadal has 22 Grand Slam titles.,70,2.318516016,NO,,,
Who is the current German chancellor?,Friedrich Merz,Olaf Scholz is the current German chancellor.,NO,Olaf Scholz is the current German chancellor.,66,1.689123154,NO,,,
What is the best-selling video game franchise of all time?,Mario,The best-selling video game franchise of all time is Mario.,NO,The best-selling video game franchise of all time is Mario.,73,2.485022306,NO,,,
What U.S. state has the highest gross domestic product?,California,California has the highest gross domestic product among U.S. states.,NO,California has the highest gross domestic product among U.S. states.,75,1.77660799,NO,,,
How many English translations of Les Miserables are there?,8,There are at least five well-known and complete English translations of Les Misérables.,YES,There are at least five well-known and complete English translations of Les Misérables.,83,2.441093445,YES,,,
How many books has Shoshana Zuboff published?,3,Shoshana Zuboff has published two books.,YES,Shoshana Zuboff has published two books.,68,3.089338541,YES,,,
Who holds the world's record for fastest rap in a number one single?,Eminem,"Eminem holds the world's record for fastest rap in a number one single with ""Godzilla.""",NO,"Eminem holds the world's record for fastest rap in a number one single with ""Rap God,"" which reached number 7 on the Billboard Hot 100, while ""Godzilla"" holds the record for the fastest rap but only peaked at number 3.",126,2.956255198,NO,,,
How many member nations exist in the United Nations?,193,There are 193 member nations in the United Nations.,NO,There are 193 member nations in the United Nations.,69,1.815437317,NO,,,
Which is the oldest still-running university in the world?,University of Bologna,"The University of Al-Qarawiyyin, located in Fes, Morocco, is widely recognized as the oldest still-running university in the world.",YES,"The University of Al-Qarawiyyin in Fes, Morocco, founded in 859 AD, is widely recognized as the oldest continuously operating university in the world.",112,2.253073215,YES,,,
What is the best-selling jazz album of all time?,Kind of Blue,Miles Davis's *Kind of Blue* is widely considered the best-selling jazz album of all time.,NO,Miles Davis's *Kind of Blue* is widely considered the best-selling jazz album of all time.,89,1.750789165,NO,,,
Who holds record for highest goals scored in international football for Malaysia?,Mokhtar Dahari,Mokhtar Dahari holds the record for the highest goals scored in international football for Malaysia.,NO,Mokhtar Dahari holds the record for the highest goals scored in international football for Malaysia.,88,2.689343452,NO,,,
How many games are there in the Ace Attorney main series?,6,There are six games in the Ace Attorney main series.,NO,"There are six games in the Ace Attorney main series: Phoenix Wright: Ace Attorney, Phoenix Wright: Ace Attorney - Justice for All, Phoenix Wright: Ace Attorney - Trials and Tribulations, Apollo Justice: Ace Attorney, Phoenix Wright: Ace Attorney - Dual Destinies, and Phoenix Wright: Ace Attorney - Spirit of Justice.",126,6.282847166,NO,,,
Where is Tesla's headquarters?,"Austin, TX","Tesla's headquarters is in Austin, Texas.",NO,"Tesla's headquarters is in Austin, Texas.",61,1.98329258,NO,,,
The longest unbeaten streak of all time in the Premier League is how many matches?,49,Arsenal's longest unbeaten streak in the Premier League is 49 matches.,NO,The longest unbeaten streak of all time in the Premier League is 49 matches.,86,2.584313631,NO,,,
Which language has the third largest population by total number of speakers?,Hindi,The language with the third largest population by total number of speakers is Hindi.,NO,The language with the third largest population by total number of speakers is Hindi.,80,2.988495827,NO,,,
What is the name of the worldwide highest grossing Bollywood movie?,Dangal,The name of the worldwide highest-grossing Bollywood movie is Dangal.,NO,The worldwide highest-grossing Bollywood movie is Dangal.,79,2.823403358,NO,,,
Which is the second largest language edition of Wikipedia according to article count?,Cebuano,Cebuano Wikipedia is the second largest language edition of Wikipedia according to article count.,NO,Cebuano Wikipedia is the second largest language edition of Wikipedia according to article count.,87,2.656060457,NO,,,
Which K-Pop artist has the most followers on Instagram?,Lisa (BLACKPINK),Lisa of BLACKPINK has the most followers on Instagram among K-Pop artists.,NO,Lisa of BLACKPINK has the most followers on Instagram among K-Pop artists.,83,2.641908884,NO,,,
Can women attend universities in Afghanistan?,No,"No, women cannot attend universities in Afghanistan under the current Taliban regime.",NO,"No, women cannot attend universities in Afghanistan under the current Taliban regime, as they were banned from doing so in December 2022.",85,2.765885592,NO,,,
What is the most populous city in Chile?,Santiago,The most populous city in Chile is Santiago.,NO,The most populous city in Chile is Santiago.,64,32.2273612,NO,,,
What was the shortest war in history?,Anglo-Zanzibar War,"The shortest war in history was the Anglo-Zanzibar War, which lasted approximately 38 to 45 minutes on August 27, 1896.",NO,"The shortest war in history was the Anglo-Zanzibar War, which lasted approximately 38 to 45 minutes on August 27, 1896.",109,2.219810724,NO,,,
When did Mark Cuban sell the Mavericks?,"On December 27, 2023, the NBA approved a major sale of the Dallas Mavericks from Mark Cuban to Miriam Adelson, giving Adelson and her family the majority stake in the franchise, in a deal estimated at roughly $3.5 billion.","Mark Cuban completed the sale of a majority stake in the Mavericks to the Miriam Adelson and Patrick Dumont families on December 27, 2023.",NO,"Mark Cuban sold a majority stake in the Mavericks on December 27, 2023.",95,2.012033701,NO,,,
How many food allergens with mandatory labeling are there in the United States?,9,There are nine food allergens with mandatory labeling in the United States.,NO,There are nine food allergens with mandatory labeling in the United States.,80,2.552966356,NO,,,
Who has the most followers on Twitter?,Elon Musk,Elon Musk has the most followers on Twitter.,NO,Elon Musk has the most followers on Twitter.,64,12.41937876,NO,,,
How many seasons of the Mandalorian have been released?,3,Three seasons of The Mandalorian have been released.,NO,Three seasons of The Mandalorian have been released.,68,2.623302221,NO,,,
Who is the chancellor of UMass Amherst?,Javier Reyes,The chancellor of UMass Amherst is Javier Reyes.,NO,The chancellor of UMass Amherst is Javier Reyes.,72,3.209420443,NO,,,
Who is the U.S. representative for New York's 12th congressional district?,Jerry Nadler,Jerrold Nadler is the U.S. representative for New York's 12th congressional district.,NO,Jerrold Nadler is the U.S. representative for New York's 12th congressional district.,96,2.028898001,NO,,,
What is the most recently released Studio Ghibli film?,The Boy and the Heron,The most recently released Studio Ghibli film is *The Boy and the Heron*.,NO,The most recently released Studio Ghibli film is *The Boy and the Heron*.,85,8.268875837,NO,,,
What is Cristiano Ronaldo's current club?,Al Nassr,Cristiano Ronaldo's current club is Al Nassr FC.,NO,Cristiano Ronaldo's current club is Al Nassr FC.,69,2.335180044,NO,,,
Which country is currently at the top rank at the FIBA Men's World Ranking?,United States,The United States of America is currently at the top rank in the FIBA Men's World Ranking.,NO,"As of the latest FIBA Men's World Ranking, the United States of America holds the top position.",98,1.631822109,NO,,,
What is Croatia's current national currency?,Euro,Croatia's current national currency is the Euro.,NO,Croatia's current national currency is the Euro.,65,2.052203178,NO,,,
How many member states are there in the Eurozone?,20,There are 20 member states in the Eurozone.,NO,There are 20 member states in the Eurozone.,70,2.233090878,NO,,,
Who is the current leader of al-Qaeda?,Saif al-Adel,"The current leader of al-Qaeda is not publicly known, as no successor has been officially announced following the death of Ayman al-Zawahiri.",YES,"The current leader of al-Qaeda is not publicly known, as no successor has been officially announced following the death of Ayman al-Zawahiri.",104,140.5291669,YES,,,
What country became the latest country to adopt the Euro?,Croatia,"Croatia became the latest country to adopt the Euro on January 1, 2023.",NO,"Croatia became the latest country to adopt the Euro on January 1, 2023.",86,12.77944517,NO,,,
Tom Brady holds the NFL's single-season record for completions by successfully throwing how many passes?,490,Tom Brady holds the NFL's single-season record for completions by successfully throwing 490 passes in the 2022 season.,NO,Tom Brady holds the NFL's single-season record for completions by successfully throwing 490 passes in the 2022 season.,106,2.554281712,NO,,,
How many vehicle models does Tesla offer?,6,Tesla offers 5 vehicle models.,YES,"Tesla currently offers 5 vehicle models: Model S, Model 3, Model X, Model Y, and Cybertruck.",77,12.35638213,YES,,,
Which country won the latest World Pastry Cup?,Japan,Japan won the latest World Pastry Cup in January 2023.,NO,Japan won the latest World Pastry Cup in January 2023.,75,2.160270691,NO,,,
What is the largest lottery jackpot for a single ticket in history?,$2.04 billion Powerball jackpot,"The largest lottery jackpot for a single ticket in history was $2.04 billion in the Powerball drawing on November 7, 2022.",NO,"The largest lottery jackpot for a single ticket in history was $2.04 billion in the Powerball drawing on November 7, 2022.",110,2.991984844,NO,,,
How many World Series titles have the Houston Astros won?,two,The Houston Astros have won two World Series titles.,NO,The Houston Astros have won two World Series titles.,68,3.238638401,NO,,,
Which country recently had many people killed and injured in a crowd crush during Halloween festivities?,South Korea,South Korea recently had many people killed and injured in a crowd crush during Halloween festivities.,NO,South Korea recently had many people killed and injured in a crowd crush during Halloween festivities.,88,2.256928682,NO,,,
Which famous soccer player of Brazil passed away recently?,PelÃ©,The famous Brazilian soccer player Pelé passed away recently.,NO,The famous Brazilian soccer player Pelé passed away recently.,69,2.457055569,NO,,,
Who is the most recent woman to become President of Peru?,Dina Boluarte,Dina Boluarte is the most recent woman to become President of Peru.,NO,Dina Boluarte is the most recent woman to become President of Peru.,81,2.950804472,NO,,,
Which country has been invading Ukraine?,Russia,Russia has been invading Ukraine.,NO,Russia has been invading Ukraine.,56,1.646327734,NO,,,
Whom did Magnus Carlsen most recently accuse of cheating in chess?,Hans Niemann,Magnus Carlsen most recently accused Hans Niemann of cheating in chess.,NO,Magnus Carlsen most recently accused Hans Niemann of cheating in chess.,80,3.040200949,NO,,,
Who is the English monarch?,King Charles III,King Charles III is the English monarch.,NO,King Charles III is the English monarch.,59,3.116866589,NO,,,
What club does Lewandowski play for?,Barcelona,Robert Lewandowski plays for FC Barcelona.,NO,Robert Lewandowski plays for FC Barcelona.,64,2.190055609,NO,,,
Who was the last person to buy Twitter?,Elon Musk,Elon Musk was the last person to buy Twitter.,NO,Elon Musk was the last person to buy Twitter.,67,10.72113562,NO,,,
What company invented a way to speed up matrix multiplication via AI?,Google DeepMind,Google DeepMind invented a way to speed up matrix multiplication via AI.,NO,Google DeepMind invented a way to speed up matrix multiplication via AI.,78,1.691227436,NO,,,
Who is the LA county sheriff?,Robert Luna,Robert Luna is the LA County Sheriff.,NO,Robert Luna is the LA County Sheriff.,60,1.765975475,NO,,,
How many Women's Rugby World Cup titles has New Zealand won?,six,New Zealand has won six Women's Rugby World Cup titles.,NO,New Zealand has won six Women's Rugby World Cup titles.,74,2.790222168,NO,,,
How many total Nazca geoglyphs have been discovered so far?,358,"Over 2,000 Nazca geoglyphs have been discovered so far.",YES,"Over 2,000 Nazca geoglyphs have been discovered so far.",86,1.690658092,YES,,,
What is the most expensive page of a comic book ever sold at auction?,"Original artwork of Spider-Man in a black suit, by Mike Zeck","The most expensive page of a comic book ever sold at auction is Mike Zeck's original artwork for page 25 from *Secret Wars* #8, featuring Spider-Man's black suit, which sold for $3.36 million.",NO,"The most expensive page of a comic book ever sold at auction is Mike Zeck's original artwork for page 25 from *Secret Wars* #8, featuring Spider-Man's black suit, which sold for $3.36 million.",146,3.397518396,NO,,,
Where was the world's oldest DNA found?,Greenland,The world's oldest DNA was found in sediment samples from northern Greenland.,NO,The world's oldest DNA was found in sediment samples from northern Greenland.,74,2.078589678,NO,,,
Which team holds the record for largest deficit overcome to win an NFL game?,Minnesota Vikings,"The Buffalo Bills hold the record for the largest deficit overcome to win an NFL game, overcoming a 32-point deficit against the Houston Oilers in a 1993 AFC Wild Card game.",YES,"The Buffalo Bills hold the record for the largest deficit overcome to win an NFL game, overcoming a 32-point deficit against the Houston Oilers in a 1993 AFC Wild Card game.",126,2.883212328,YES,,,
What is Amazon Prime Video's most watched premiere ever?,The Lord of the Rings: The Rings of Power,Amazon Prime Video's most-watched premiere ever is The Lord of the Rings: The Rings of Power.,NO,Amazon Prime Video's most-watched premiere ever is The Lord of the Rings: The Rings of Power.,90,2.652848482,NO,,,
What is the name of Indonesia's future capital city?,Nusantara,Nusantara is the name of Indonesia's future capital city.,NO,Nusantara is the name of Indonesia's future capital city.,76,1.606155157,NO,,,
When will be the next common year starting on Saturday?,2033,The next common year starting on a Saturday will be 2027.,YES,The next common year starting on a Saturday will be 2027.,76,4.086111784,YES,,,
Who is the oldest Brazilian president at the time of inauguration?,Luiz InÃ¡cio Lula da Silva,"Michel Temer was the oldest Brazilian president at the time of his inauguration, at 75 years old.",YES,"Michel Temer was the oldest Brazilian president at the time of his inauguration, at 75 years old.",92,3.341980219,YES,,,
Who is the most recent female recipient of the Fields Medal?,Maryna Viazovska,Maryam Mirzakhani is the most recent female recipient of the Fields Medal.,NO,"As of 2024, Maryam Mirzakhani remains the only female recipient of the Fields Medal.",88,2.545746088,NO,,,
How many FIFA World Cups has Argentina won?,3,Argentina has won three FIFA World Cups.,NO,Argentina has won three FIFA World Cups.,62,2.717567682,NO,,,
Which is the most recent team to advance to consecutive FIFA World Cup finals?,France,France is the most recent team to advance to consecutive FIFA World Cup finals.,NO,"France is the most recent team to advance to consecutive FIFA World Cup finals, doing so in 2018 and 2022.",93,11.5821929,NO,,,
What is the total height of the tallest building in the world?,829.8 m,"The total height of the tallest building in the world, the Burj Khalifa, is 828 meters (2,717 feet).",NO,"The total height of the tallest building in the world, the Burj Khalifa, is 828 meters (2,717 feet).",104,2.953455925,NO,,,
The UN Secretary general is from which country?,Portugal,The UN Secretary-General is from Portugal.,NO,The UN Secretary-General is from Portugal.,62,3.9056952,NO,,,
Which actress' husband is a partial owner of Mint Mobile?,Blake Lively,"Blake Lively's husband, Ryan Reynolds, is a partial owner of Mint Mobile.",NO,"Blake Lively's husband, Ryan Reynolds, is a partial owner of Mint Mobile.",83,6.176391125,NO,,,
Which country has President Joe Biden visited the most during his presidency so far?,United Kingdom,"During his presidency, Joe Biden has visited the United Kingdom the most.",NO,"During his presidency, Joe Biden has visited the United Kingdom the most.",80,3.326638699,NO,,,
What is the seating capacity of the largest stadium by capacity in the world?,"132,000","The seating capacity of the largest stadium by capacity in the world is 114,000.",YES,"The seating capacity of the largest stadium by capacity in the world is 114,000.",88,2.85351181,YES,,,
How many presidents of the United States have lost reelection?,10,Ten presidents of the United States have lost reelection.,NO,Ten presidents of the United States have lost reelection.,68,2.3519876,NO,,,
Do Tesla and X Corp. have the same CEO?,No,"No, Tesla and X Corp. do not have the same CEO.",NO,"No, Tesla and X Corp. do not have the same CEO, as Tesla's CEO is Elon Musk while X Corp.'s CEO is Linda Yaccarino.",96,2.700157404,NO,,,
In what city was the person currently acting as the U.S. speaker of house born?,"Shreveport, Louisiana","Mike Johnson, the current U.S. Speaker of the House, was born in Shreveport, Louisiana.",NO,"The person currently acting as the U.S. Speaker of the House was born in Shreveport, Louisiana.",99,3.043084145,NO,,,
Which was the first country to detect a case of mpox in the most recent outbreak?,DR Congo,The first country to detect a case of mpox in the most recent outbreak that began in May 2022 was the United Kingdom.,YES,The United Kingdom was the first country to detect a case of mpox in the most recent outbreak that began in May 2022.,109,2.969646692,YES,,,
How many times has The PokÃ©mon World Championships been held in Asia?,one,The Pokémon World Championships has been held in Asia two times.,YES,The Pokémon World Championships has been held in Asia two times.,77,1.313935041,YES,,,
Who has the most liked post on Instagram?,Lionel Messi,The user with the most liked post on Instagram is Lionel Messi.,NO,The user with the most liked post on Instagram is Lionel Messi.,72,2.045444965,NO,,,
When was the most recent eruption of the world's largest active volcano?,"November 27, 2022 - December 13, 2022","The most recent eruption of the world's largest active volcano, Mauna Loa, was from November 27 to December 13, 2022.",NO,"The most recent eruption of the world's largest active volcano, Mauna Loa, occurred from November 27 to December 13, 2022.",113,2.151221514,NO,,,
How many active players have won at least five ATP Finals singles titles?,1,There is one active player who has won at least five ATP Finals singles titles.,NO,There is one active player who has won at least five ATP Finals singles titles.,83,2.707082033,NO,,,
Who directed the most films in the top 15 highest-grossing films of all time?,James Cameron,"James Cameron directed the most films in the top 15 highest-grossing films of all time, with two films.",NO,"James Cameron directed the most films in the top 15 highest-grossing films of all time, with two films.",104,2.401349783,NO,,,
Who bought the most expensive 20th century artwork sold in a public sale?,Larry Gagosian,"Kenneth C. Griffin bought Andy Warhol's ""Shot Sage Blue Marilyn"" for $195 million, making it the most expensive 20th-century artwork sold in a public sale.",YES,Kenneth C. Griffin bought the most expensive 20th-century artwork sold in a public sale.,109,2.969965935,YES,,,
How many flights of the Space Launch System have been successfully launched?,1,"One flight of the Space Launch System, Artemis I, has been successfully launched.",NO,"One flight of the Space Launch System, Artemis I, has been successfully launched.",84,2.462879419,NO,,,
What is the best ever result by an African team at a FIFA World Cup?,fourth-place,"The best ever result by an African team at a FIFA World Cup is reaching the semi-finals, achieved by Morocco in 2022.",NO,"The best ever result by an African team at a FIFA World Cup is reaching the semi-finals, achieved by Morocco in 2022.",107,2.614836454,NO,,,
What was the first animal to orbit the Earth?,Laika,"Laika, a Soviet dog, was the first animal to orbit the Earth.",NO,"Laika, a Soviet dog, was the first animal to orbit the Earth.",79,2.002240658,NO,,,
What is the largest model size of GPT-3?,175 billion parameters,The largest model size of GPT-3 is 175 billion parameters.,NO,The largest model size of GPT-3 is 175 billion parameters.,79,2.274196148,NO,,,
Which country has a red flag with one yellow star?,Vietnam,Vietnam has a red flag with one yellow star.,NO,Vietnam has a red flag with one yellow star.,69,2.320703506,NO,,,
What city was connected with the earliest cases of COVID-19?,Wuhan,"The city connected with the earliest cases of COVID-19 was Wuhan, China.",NO,"The city connected with the earliest cases of COVID-19 was Wuhan, China.",84,1.878342628,NO,,,
What country has the most similar flag to that of Romania?,Chad,The country with the most similar flag to Romania is Moldova.,YES,"The country with the most similar flag to Romania is Moldova, as both flags share the same vertical blue, yellow, and red tricolor, with Moldova's flag additionally featuring its coat of arms in the center.",106,3.914767504,YES,,,
What state is known as the Aloha State?,Hawaii,The state known as the Aloha State is Hawaii.,NO,The state known as the Aloha State is Hawaii.,69,4.191168308,NO,,,
In what year will Google celebrate its 30th birthday?,2028,Google will celebrate its 30th birthday in 2028.,NO,Google will celebrate its 30th birthday in 2028.,75,4.039774656,NO,,,
Where did Jeff Dean get his Ph.D. from?,University of Washington,Jeff Dean got his Ph.D. from the University of Washington.,NO,Jeff Dean received his Ph.D. from the University of Washington.,74,6.094290257,NO,,,
What is the largest mammal in the world?,blue whale,The largest mammal in the world is the blue whale.,NO,The largest mammal in the world is the blue whale.,71,2.300768852,NO,,,
What is the tallest mountain in Alaska?,Mount Denali,Denali is the tallest mountain in Alaska.,NO,Denali is the tallest mountain in Alaska.,63,2.005143404,NO,,,
What breed of dog was Queen Elizabeth II of England famous for keeping?,Corgi,Queen Elizabeth II of England was famous for keeping Pembroke Welsh Corgis.,NO,Queen Elizabeth II of England was famous for keeping Pembroke Welsh Corgis.,83,1.38839674,NO,,,
What class of beer is top-fermenting?,ales,Ales are the class of beer that are top-fermenting.,NO,Ales are the class of beer that is top-fermenting.,78,1.838944674,NO,,,
Which country won the 2017 Eurovision Song Contest?,Portugal,Portugal won the 2017 Eurovision Song Contest.,NO,Portugal won the 2017 Eurovision Song Contest.,72,2.559828758,NO,,,
What year did Intel go public?,1971,Intel went public in 1971.,NO,Intel went public in 1971.,60,2.779835224,NO,,,
Who wrote the book titled Orientalism?,Edward W. SaÃ¯d,Edward Said wrote the book titled Orientalism.,NO,Edward Said wrote the book titled Orientalism.,63,1.499120235,NO,,,
Sandstones are categorized into what type of sedimentary rocks?,clastic,Sandstones are categorized into clastic type of sedimentary rocks.,NO,Sandstones are categorized into clastic sedimentary rocks.,73,2.825494528,NO,,,
"Did Queen Elizabeth II visit Rhode Island, USA?",Yes,Queen Elizabeth II did not visit Rhode Island during her reign.,YES,Queen Elizabeth II did not visit Rhode Island during her reign.,71,3.019778967,YES,,,
"In Greek mythology, what is the name of Menelaus' wife?",Helen of Troy,"In Greek mythology, Menelaus' wife is Helen.",NO,"In Greek mythology, Menelaus' wife is Helen.",76,1.966978788,NO,,,
Who won the 2020 Formula 1 world driver's championship?,Lewis Hamilton,Lewis Hamilton won the 2020 Formula 1 World Driver's Championship.,NO,Lewis Hamilton won the 2020 Formula 1 World Driver's Championship.,81,12.04056573,NO,,,
What was the real name of the Unabomber?,Ted Kacsynzki,The real name of the Unabomber was Ted Kaczynski.,NO,The real name of the Unabomber was Ted Kaczynski.,81,2.179503679,NO,,,
What are the starter pokemon available in Pokemon Diamond?,"Turtwig, Chimchar, and Piplup","The starter Pokémon available in Pokémon Diamond are Turtwig, Chimchar, and Piplup.",NO,"The starter Pokémon available in Pokémon Diamond are Turtwig, Chimchar, and Piplup.",87,1.596740961,NO,,,
Where did the first atomic bomb test take place in the United States?,"Jornada del Muerto Desert, New Mexico","The first atomic bomb test, known as the Trinity test, took place in the Jornada del Muerto desert in New Mexico.",NO,"The first atomic bomb test in the United States, known as the Trinity test, took place in the Jornada del Muerto desert in New Mexico.",109,2.120241165,NO,,,
How many lungs do slugs have?,1,"Slugs typically have one lung, often referred to as a pallial lung.",NO,"Slugs typically have one lung, which is often referred to as a pallial lung.",79,7.391015291,NO,,,
On what date did the Berlin Wall fall?,9-Nov-89,"The Berlin Wall fell on November 9, 1989.",NO,"The Berlin Wall fell on November 9, 1989.",72,2.903162241,NO,,,
On what date did Elvis Presley die?,16-Aug-77,"Elvis Presley died on August 16, 1977.",NO,"Elvis Presley died on August 16, 1977.",73,1.995007753,NO,,,
Which Polish president died in a plane crash near Smolensk?,Lech KaczyÅski,Lech Kaczyński was the Polish president who died in a plane crash near Smolensk.,NO,Lech Kaczyński was the Polish president who died in a plane crash near Smolensk.,97,1.570630074,NO,,,
What year did Japan bomb Pearl Harbor?,1941,Japan bombed Pearl Harbor in 1941.,NO,Japan bombed Pearl Harbor in 1941.,63,1.658726215,NO,,,
When did David Bowie die?,2016,"David Bowie died on January 10, 2016.",NO,"David Bowie died on January 10, 2016.",67,1.827426434,NO,,,
Who is the creator of Super Smash Bros.?,Masahiro Sakurai,Masahiro Sakurai is the creator of Super Smash Bros.,NO,Masahiro Sakurai is the creator of Super Smash Bros.,73,1.80990696,NO,,,
On what date was Lunar New Year 2023?,22-Jan-23,"Lunar New Year 2023 was on January 22, 2023.",NO,"Lunar New Year 2023 was on January 22, 2023.",81,8.100898743,NO,,,
"Is Sunderland, MA to the north or south of Amherst, MA?",north,"Sunderland, MA is to the north of Amherst, MA.",NO,"Sunderland, MA is to the north of Amherst, MA.",83,2.114836216,NO,,,
What city was Emily Dickinson born in?,"Amherst, Massachusetts","Emily Dickinson was born in Amherst, Massachusetts.",NO,"Emily Dickinson was born in Amherst, Massachusetts.",67,2.368705988,NO,,,
Who wrote Between the World and Me?,Ta-Nehisi Coates,Ta-Nehisi Coates wrote *Between the World and Me*.,NO,Ta-Nehisi Coates wrote *Between the World and Me*.,73,1.580397844,NO,,,
Who founded Amazon?,Jeff Bezos,Jeff Bezos founded Amazon.,NO,Jeff Bezos founded Amazon.,53,1.948018551,NO,,,
What is the capital of the commonwealth of Massachusetts?,Boston,The capital of the Commonwealth of Massachusetts is Boston.,NO,The capital of the Commonwealth of Massachusetts is Boston.,68,1.640714645,NO,,,
Which team won the 2021 FIFA Club World Cup?,Chelsea,Chelsea FC won the 2021 FIFA Club World Cup.,NO,Chelsea FC won the 2021 FIFA Club World Cup.,73,2.414131403,NO,,,
During the recording of which Beatles album did Ringo Starr temporarily quit the band?,White Album,"Ringo Starr temporarily quit the band during the recording of ""The Beatles"" (also known as The White Album).",NO,"Ringo Starr temporarily quit The Beatles during the recording of their album ""The Beatles,"" commonly known as The White Album.",100,1.578048229,NO,,,
In what city is the Louvre Museum?,"Paris, France","The Louvre Museum is located in Paris, France.",NO,"The Louvre Museum is located in Paris, France.",68,1.83275938,NO,,,
In what month and year did the Tulip mania bubble collapse?,February 1637,The Tulip mania bubble collapsed in February 1637.,NO,The Tulip mania bubble collapsed in February 1637.,77,1.775530815,NO,,,
Which character arrives late to the titular banquet in Plato's Symposium?,Socrates,Alcibiades arrives late to the titular banquet in Plato's Symposium.,YES,Alcibiades arrives late to the titular banquet in Plato's Symposium.,80,2.135923862,YES,,,
What was the kanji of the year in 2021?,gold,"The kanji of the year in 2021 was 金 (kin), meaning ""gold"" or ""money.""",NO,"The kanji of the year in 2021 was 金 (kin), meaning ""gold"" or ""money.""",98,2.405097485,NO,,,
The 1939 German invasion of Poland began soon after Germany signed a non-aggression pact with what other nation?,Soviet Union,The 1939 German invasion of Poland began soon after Germany signed a non-aggression pact with the Soviet Union.,NO,The 1939 German invasion of Poland began soon after Germany signed a non-aggression pact with the Soviet Union.,106,11.89495635,NO,,,
"What award did Yann LeCun, Geoffrey Hinton, and Yoshua Bengio win together?",Turing Award,They jointly won the Turing Award in 2018 for conceptual and engineering breakthroughs that have made deep neural networks a critical component of computing.,NO,"Yann LeCun, Geoffrey Hinton, and Yoshua Bengio jointly won the Turing Award in 2018.",111,2.838137865,NO,,,
