Question,Answer
How many Premier League goals has Paul Scholes scored in his senior career?,107
What is the city flower of Shanghai?,Magnolia denudata
Is the Great Pyramid of Giza one of the New 7 Wonders of the World?,No
"Which state in the U.S. had the highest death rate of COVID-19 per 100,000 total population in 2023?",Kentucky
Who was the first woman to gain 300 million followers on Instagram?,Kylie Jenner
What date was The Lord of the Rings: The Rings of Power (Season 1) premiered on?,1-Sep-22
What city was the first ever to host both the Summer Olympics and Winter Olympics?,Beijing
How many episodes of The Lord of the Rings: The Rings of Power season 1 have been released?,8
What killed the student inventor of the Perceptron?,esophageal varices
Which member of The Beatles was born first?,Ringo Starr
Who was the emperor of China when Sweet Dew incident happened?,Emperor Wenzong
How many doses of the COVID vaccine have been administered in the United States?,677 million
How many accounts have exceeded 100 million followers on Instagram?,39
