Question,Answer,base_response,is_hallucination,final_answer,token_cost,time_cost,recheck_hallucination,
Which Bangkok hotel is Sri Lanka's deposed former president Gotabaya Rajapaksa currently residing at during his self-imposed exile from his home country?,"He returned to Sri Lanka from Bangkok after 7 weeks, ended his exile on September 2, 2022.",He is currently residing at the Siam Kempinski Hotel Bangkok.,YES,He is not currently residing at any Bangkok hotel; he only briefly stayed at the Siam Kempinski Hotel Bangkok in August 2022 before returning to Sri Lanka.,4742,70.55542517,NO,
What percentage did Apple's stock price crater the day after reporting disappointing earnings results in the fourth quarter of 2022?,Apple gained value on strong earnings in the fourth quarter of 2022.,It didn’t crater at all—the stock actually rose about 7.6% the next day.,NO,It cannot be determined from the provided context.,4788,48.95341754,YES,
What shoe company signed Kanye West to a new multibillion dollar celebrity endorsement deal in October 2022?,He was actually dropped by many companies for offensive comments.,No shoe company did; Adidas actually terminated its partnership with Kanye West in October 2022 rather than signing a new deal.,YES,None—Adidas actually terminated its partnership with Kanye West in October 2022 rather than signing a new multibillion-dollar deal.,3758,39.73674655,NO,
In which round did Novak Djokovic lose at the 2022 Australian Open?,He was not allowed to play at the tournament due to his vaccination status.,"He did not lose in any round, as he was deported before the tournament and did not compete in the 2022 Australian Open.",NO,"He didn’t lose in any round, as he was deported before the tournament and did not compete in the 2022 Australian Open.",4649,59.73412919,NO,
"Since Novak Djokovic has been banned from entering Australia for three years, who was the betting favorite to win the men's side of the 2023 Australian Open before the tournament started?",Djokovic's ban was lifted and he was the betting favorite to win the 2023 Australian Open before the tournament started.,Daniil Medvedev was the betting favorite.,YES,Novak Djokovic was the pre-tournament betting favorite to win the men’s singles at the 2023 Australian Open.,4204,46.35980058,NO,
For how many minutes did Tom Cruise hold his breath underwater on the set of Mission Impossible: Rogue Nation to set the current world record for holding one's breath underwater while filming?,Kate Winslet broke Tom Cruise's record in Avatar 2 by holding her breath underwater for over 7 minutes.,He held his breath for six minutes.,NO,"About six minutes, but it was for the underwater stunt rather than to set a world record.",5369,73.87743902,NO,
When is Peruvian President Pedro Castillo scheduled to visit Chile this year?,Pedro Castillo is no longer the President of Peru.,"He is scheduled to visit Chile on March 11, 2022.",YES,The provided context does not specify when Peruvian President Pedro Castillo is scheduled to visit Chile this year.,5471,64.95870996,YES,
How long has Harry Styles been a member of One Direction?,One Direction is no longer active.,"He was a member of One Direction for about six years, from 2010 until their hiatus in 2016.",NO,"He was a member for roughly six years, from 2010 until their hiatus in 2016.",4237,56.62153053,NO,
What is the smallest cube number which can be expressed as the sum of two different positive cube numbers in two different ways?,"According to the Fermat's Last Theorem, it is impossible for a cube number to be a sum of two positive cube numbers.","No such cube exists, because by Fermat’s Last Theorem no positive integer cube can be written as the sum of two other positive integer cubes.",NO,"No such cube exists; by Fermat’s Last Theorem no positive integer cube can be written as the sum of two distinct positive integer cubes, and while 1729 is the smallest number with two such representations, it is not a cube.",24430,277.2051196,NO,
"What was the text of Donald Trump's first Tweet in 2022, made after his unbanning from Twitter by Elon Musk?",He did not tweet/post in 2022. His first tweet/post was made in 2023.,"Donald Trump did not post any tweet in 2022 after Elon Musk reinstated his account, so there was no “first tweet” text.",NO,"Donald Trump did not tweet in 2022 after Elon Musk reinstated his account, so there was no “first tweet” text.",8179,88.83150792,NO,
How many days are left until the next season of Atlanta airs?,The final season already finished airing in 2022.,"There are no days left, since Atlanta ended with Season 4 in 2022 and no further season is scheduled.",NO,"Since COVID-related delays postponed Atlanta’s next season and no premiere date has been set, the number of days left is unknown.",4899,64.25118041,NO,
How much longer will Brittney Griner spend in the Russian prison?,She was released in December 2022 as part of a prisoner swap.,"She will spend no additional time, as she was released from Russian custody in December 2022 in a prisoner swap.",NO,"She is no longer in Russian custody, having been released in December 2022 in a prisoner swap.",5629,65.1196897,NO,
By how many basis points did the Federal Reserve cut interest rates from August to December 2022?,The Federal Reserve increased rates in 2022 to combat inflation.,The Federal Reserve cut interest rates by 0 basis points between August and December 2022.,NO,0 basis points.,5847,67.37931013,NO,
How many children does Leonardo DiCaprio have?,Leonardo DiCaprio does not have any children.,Leonardo DiCaprio has no children.,NO,Leonardo DiCaprio has no children.,2833,30.7022469,NO,
How many humans have landed on Mars?,No humans have been to Mars yet.,Zero humans have landed on Mars.,NO,Zero humans have landed on Mars.,3270,36.202703,NO,
How many UC schools are there in the United States?,10,There are 10 University of California (UC) schools in the United States.,NO,"There are 10 University of California campuses in the United States, all in California (nine offer undergraduate programs and UCSF is graduate/professional only).",4518,72.00399971,NO,
Who is the highest-paid coach per season ever on the American television series The Voice?,Ariana Grande,Ariana Grande is the highest-paid coach per season ever on The Voice.,NO,Ariana Grande is the highest-paid coach per season ever on The Voice.,3580,28.13887167,NO,
Who is the CEO of Google?,Sundar Pichai,Sundar Pichai is the CEO of Google.,NO,"Sundar Pichai is the CEO of Google (and also the CEO of Alphabet, Google’s parent company).",3380,27.76097727,NO,
How much does parking cost at the Big E?,$10 ,Parking at the Big E costs $10.,NO,It cannot be determined from the provided context how much parking at the Big E costs.,4526,48.93836021,YES,
What is the top-ranked university in the US according to the US News Ranking?,Princeton University,"According to U.S. News & World Report’s Best National Universities ranking, Princeton University is ranked No. 1 in the United States.",NO,It cannot be determined from the provided context which university is ranked No. 1 in the U.S. News & World Report Best National Universities ranking.,3214,39.10754037,YES,
What's the world record time for running a mile?,03:43.1,"The outdoor mile world records are 3:43.13 (men, Hicham El Guerrouj, 1999) and 4:07.64 (women, Faith Kipyegon, 2023).",NO,"The outdoor mile world records are 3:43.13 for men (Hicham El Guerrouj, 1999) and 4:07.64 for women (Faith Kipyegon, 2023).",5196,63.18944836,NO,
How many grand slams does Rafael Nadal have?,22,Rafael Nadal has 22 Grand Slam singles titles.,NO,Rafael Nadal has 22 Grand Slam singles titles.,2826,28.54741693,NO,
Who is the current German chancellor?,Friedrich Merz,"As of my latest available information (October 2024), the German chancellor is Olaf Scholz.",NO,The current German chancellor is not Olaf Scholz—he served from 2021 to 2025—but I don’t have a verified name for the present officeholder.,3805,48.04808235,YES,
What is the best-selling video game franchise of all time?,Mario,The best-selling video game franchise of all time is Nintendo’s Mario franchise.,NO,"Nintendo’s Mario franchise is the best-selling video game franchise of all time, with over 900 million copies sold.",3175,29.15350604,NO,
What U.S. state has the highest gross domestic product?,California,California has the highest gross domestic product among U.S. states.,NO,California has the highest gross domestic product among U.S. states.,4510,57.32612562,NO,
How many English translations of Les Miserables are there?,8,There are at least seventeen English translations of Les Misérables.,YES,There are at least seventeen English translations of Les Misérables.,3948,46.30379844,YES,
How many books has Shoshana Zuboff published?,3,Shoshana Zuboff has published three books.,NO,Shoshana Zuboff has published three books.,3327,35.50414395,NO,
Who holds the world's record for fastest rap in a number one single?,Eminem,"Eminem holds the world record for the fastest rap in a number one single, achieved on “Godzilla.”",NO,"Eminem holds the Guinness World Record for the fastest rap in a No. 1 single, achieved on “Godzilla” (2020) with about 10.65 syllables per second.",4316,42.69962907,NO,
How many member nations exist in the United Nations?,193,There are 193 member nations in the United Nations.,NO,There are 193 member nations in the United Nations.,2984,24.45237017,NO,
Which is the oldest still-running university in the world?,University of Bologna,"The oldest continuously operating university in the world is the University of al-Qarawiyyin in Fez, Morocco, founded in 859.",YES,"The University of al-Qarawiyyin in Fez, Morocco, founded around 857–859, is the world’s oldest continuously operating university.",3139,31.35474467,YES,
What is the best-selling jazz album of all time?,Kind of Blue,Miles Davis’s Kind of Blue is the best-selling jazz album of all time.,NO,"Miles Davis’s Kind of Blue is widely recognized as the best-selling jazz album of all time, with around 5 million copies sold and quadruple platinum certification.",2715,24.63687372,NO,
Who holds record for highest goals scored in international football for Malaysia?,Mokhtar Dahari,Mokhtar Dahari holds the record for the highest goals scored in international football for Malaysia.,NO,Mokhtar Dahari is Malaysia’s all-time leading international goalscorer.,2893,24.44518161,NO,
How many games are there in the Ace Attorney main series?,6,There are six games in the Ace Attorney main series.,NO,There are six games in the Ace Attorney main series.,3868,51.97252822,NO,
Where is Tesla's headquarters?,"Austin, TX","Tesla's headquarters is in Austin, Texas.",NO,"Tesla is headquartered in Austin, Texas.",3890,47.27658129,NO,
The longest unbeaten streak of all time in the Premier League is how many matches?,49,The longest unbeaten streak of all time in the Premier League is 49 matches.,NO,"49 matches, achieved by Arsenal from May 2003 to October 2004.",3173,29.64935207,NO,
Which language has the third largest population by total number of speakers?,Hindi,Hindi has the third largest number of total speakers worldwide.,NO,Hindi is the language with the third largest total number of speakers worldwide.,3170,31.19478202,NO,
What is the name of the worldwide highest grossing Bollywood movie?,Dangal,The worldwide highest-grossing Bollywood movie is Dangal.,NO,The worldwide highest-grossing Bollywood movie is Dangal.,3274,39.377702,NO,
Which is the second largest language edition of Wikipedia according to article count?,Cebuano,The Cebuano-language edition of Wikipedia is the second largest by article count.,NO,The Cebuano-language edition of Wikipedia is the second largest by article count.,4046,53.73471308,NO,
Which K-Pop artist has the most followers on Instagram?,Lisa (BLACKPINK),Lisa of BLACKPINK has the most followers on Instagram.,NO,Lisa of BLACKPINK has the most followers on Instagram among K-pop artists.,2922,23.97128057,NO,
Can women attend universities in Afghanistan?,No,No; since December 2022 the Taliban have banned women from attending universities nationwide in Afghanistan.,NO,"No—since a formal Taliban directive in December 2022 suspended women’s university education until further notice, women have been physically barred from campuses and classes across Afghanistan, with no official exceptions and the ban still in effect.",12302,147.1952517,NO,
What is the most populous city in Chile?,Santiago,The most populous city in Chile is Santiago (Santiago de Chile).,NO,Santiago (Santiago de Chile) is the most populous city in Chile.,3377,32.89807367,NO,
What was the shortest war in history?,Anglo-Zanzibar War,"The shortest war in history is the Anglo-Zanzibar War of August 27, 1896, which lasted about 38 minutes.",NO,"The shortest recorded war in history is widely regarded to be the Anglo-Zanzibar War on 27 August 1896, lasting about 38–45 minutes.",2813,29.24892879,NO,
When did Mark Cuban sell the Mavericks?,"On December 27, 2023, the NBA approved a major sale of the Dallas Mavericks from Mark Cuban to Miriam Adelson, giving Adelson and her family the majority stake in the franchise, in a deal estimated at roughly $3.5 billion.",He sold a majority stake in the Mavericks in December 2023.,NO,"In 2023, he agreed to sell a majority stake in the Dallas Mavericks.",3597,41.51637816,NO,
How many food allergens with mandatory labeling are there in the United States?,9,There are nine major food allergens with mandatory labeling in the United States.,NO,"Nine—the FDA requires labeling of nine major allergens on packaged foods (milk, eggs, fish, crustacean shellfish, tree nuts, peanuts, wheat, soybeans, and sesame).",6404,77.94500589,NO,
Who has the most followers on Twitter?,Elon Musk,Elon Musk has the most followers on Twitter.,NO,Elon Musk has the most followers on Twitter.,2974,31.66427875,NO,
How many seasons of the Mandalorian have been released?,3,Three seasons have been released.,NO,Three seasons have been released.,3766,36.11785054,NO,
Who is the chancellor of UMass Amherst?,Javier Reyes,Javier A. Reyes is the chancellor of UMass Amherst.,NO,Javier A. Reyes is the chancellor of UMass Amherst.,3841,41.94407153,NO,
Who is the U.S. representative for New York's 12th congressional district?,Jerry Nadler,Jerry Nadler is the U.S. representative for New York's 12th congressional district.,NO,Jerry Nadler is the U.S. representative for New York's 12th congressional district.,3539,36.62692595,NO,
What is the most recently released Studio Ghibli film?,The Boy and the Heron,The most recently released Studio Ghibli film is The Boy and the Heron (2023).,NO,"The most recently released Studio Ghibli film is The Boy and the Heron (2023), also known as How Do You Live?.",3495,37.5702548,NO,
What is Cristiano Ronaldo's current club?,Al Nassr,Cristiano Ronaldo's current club is Al Nassr.,NO,It cannot be determined from the provided context what Cristiano Ronaldo's current club is.,4142,68.67819262,YES,
Which country is currently at the top rank at the FIBA Men's World Ranking?,United States,The United States is currently ranked first in the FIBA Men's World Ranking.,NO,I cannot determine from the provided context which country is currently at the top of the FIBA Men's World Ranking.,4186,42.3441956,YES,
What is Croatia's current national currency?,Euro,Croatia's current national currency is the euro (EUR).,NO,"Croatia's current national currency is the euro (EUR), adopted on January 1, 2023.",4442,46.57570529,NO,
How many member states are there in the Eurozone?,20,There are 20 member states in the Eurozone.,NO,There are 20 member states in the Eurozone.,2836,29.50782728,NO,
Who is the current leader of al-Qaeda?,Saif al-Adel,Saif al-Adl is widely assessed to be the current leader of al-Qaeda.,NO,"Saif al-Adl is widely assessed by U.S. and U.N. sources to be al-Qaeda’s de facto current leader following Ayman al-Zawahiri’s 2022 death, though the group has not publicly announced him and he is reportedly based in Iran.",3455,41.45459533,NO,
What country became the latest country to adopt the Euro?,Croatia,Croatia became the latest country to adopt the euro.,NO,Croatia became the latest country to adopt the euro.,3268,34.45970011,NO,
Tom Brady holds the NFL's single-season record for completions by successfully throwing how many passes?,490,Tom Brady holds the NFL single-season completions record with 490 successfully thrown passes.,NO,Tom Brady’s NFL single-season completions record is 490 passes.,9661,123.9060855,NO,
How many vehicle models does Tesla offer?,6,Tesla offers five vehicle models.,YES,"As of November 2024, Tesla offers six vehicle models.",2955,36.26663685,NO,
Which country won the latest World Pastry Cup?,Japan,Japan won the latest World Pastry Cup.,NO,I can’t determine who won the latest World Pastry Cup from the provided information.,6210,99.89025426,YES,
What is the largest lottery jackpot for a single ticket in history?,$2.04 billion Powerball jackpot,"The largest lottery jackpot ever won by a single ticket is the $2.04 billion Powerball prize won in California on November 7, 2022.",NO,"The largest lottery jackpot ever won by a single ticket is the $2.04 billion Powerball prize won in California on November 7, 2022.",3926,51.35475421,NO,
How many World Series titles have the Houston Astros won?,two,The Houston Astros have won two World Series titles.,NO,The Houston Astros have won two World Series titles (2017 and 2022).,3726,54.41971564,NO,
Which country recently had many people killed and injured in a crowd crush during Halloween festivities?,South Korea,South Korea was the country where many people were killed and injured in a crowd crush during Halloween festivities.,NO,South Korea.,2491,32.03153467,NO,
Which famous soccer player of Brazil passed away recently?,PelÃ©,The famous Brazilian soccer player who passed away recently is Pelé.,NO,"The famous Brazilian soccer player who passed away recently is Pelé, who died on December 29, 2022.",3338,32.09593415,NO,
Who is the most recent woman to become President of Peru?,Dina Boluarte,"The most recent woman to become President of Peru is Dina Boluarte, who assumed office on December 7, 2022.",NO,"The most recent woman to become President of Peru is Dina Boluarte, who assumed office on December 7, 2022.",3914,44.8477416,NO,
Which country has been invading Ukraine?,Russia,Russia has been invading Ukraine.,NO,It cannot be determined from the provided context.,3230,29.93636632,YES,
Whom did Magnus Carlsen most recently accuse of cheating in chess?,Hans Niemann,Magnus Carlsen most recently accused American grandmaster Hans Niemann of cheating.,NO,Magnus Carlsen most recently accused Hans Niemann of cheating in chess.,3044,30.36204457,NO,
Who is the English monarch?,King Charles III,The English monarch is King Charles III.,NO,King Charles III is the English monarch.,2830,32.82579565,NO,
What club does Lewandowski play for?,Barcelona,Robert Lewandowski plays for FC Barcelona.,NO,Robert Lewandowski plays for FC Barcelona.,3603,49.26316953,NO,
Who was the last person to buy Twitter?,Elon Musk,"Elon Musk was the last person to buy Twitter, completing the acquisition in October 2022.",NO,"Elon Musk was the last person to buy Twitter, completing the acquisition in October 2022, and he has since rebranded it as X.",3341,49.83106709,NO,
What company invented a way to speed up matrix multiplication via AI?,Google DeepMind,The company was DeepMind.,NO,"DeepMind, via its AlphaTensor system, invented a way to speed up matrix multiplication using AI.",2720,39.20702076,NO,
Who is the LA county sheriff?,Robert Luna,The Los Angeles County Sheriff is Robert Luna.,NO,Robert Luna is the Los Angeles County Sheriff.,2483,35.47951078,NO,
How many Women's Rugby World Cup titles has New Zealand won?,six,New Zealand has won six Women’s Rugby World Cup titles.,NO,New Zealand has won six Women’s Rugby World Cup titles.,3793,42.45282459,NO,
How many total Nazca geoglyphs have been discovered so far?,358,A total of 358 Nazca geoglyphs have been discovered so far.,NO,The total number of Nazca geoglyphs discovered so far cannot be determined from the provided context.,3555,38.9029398,YES,
What is the most expensive page of a comic book ever sold at auction?,"Original artwork of Spider-Man in a black suit, by Mike Zeck","The most expensive comic-book page ever sold at auction is Mike Zeck’s original art for Marvel Super Heroes Secret Wars #8 (1984) page 25 depicting Spider-Man’s black costume, which sold for $3.36 million at Heritage Auctions in January 2022.",NO,"Mike Zeck’s original art for Marvel Super Heroes Secret Wars #8 (1984) page 25, depicting Spider-Man’s black costume, sold for $3.36 million at Heritage Auctions in January 2022, making it the most expensive comic-book page ever sold at auction.",7947,120.1107266,NO,
Where was the world's oldest DNA found?,Greenland,It was found in the Kap København Formation in northern Greenland.,NO,The world's oldest DNA was found in sediment from the Kap København Formation in northern Greenland.,5236,75.31292343,NO,
Which team holds the record for largest deficit overcome to win an NFL game?,Minnesota Vikings,"The Minnesota Vikings hold the record, overcoming a 33-point deficit to beat the Indianapolis Colts in December 2022.",NO,"The Minnesota Vikings, who overcame a 33-point deficit to beat the Indianapolis Colts 39–36 in overtime on December 17, 2022, hold the NFL record for the largest comeback.",4493,68.73991036,NO,
What is Amazon Prime Video's most watched premiere ever?,The Lord of the Rings: The Rings of Power,The Lord of the Rings: The Rings of Power is Amazon Prime Video’s most-watched premiere ever.,NO,"The Lord of the Rings: The Rings of Power is Amazon Prime Video’s most-watched premiere ever, with about 25 million global viewers in its first 24 hours.",3349,43.21589112,NO,
What is the name of Indonesia's future capital city?,Nusantara,Indonesia’s future capital city is called Nusantara.,NO,Indonesia’s future capital city is called Nusantara.,3080,29.39047694,NO,
When will be the next common year starting on Saturday?,2033,The next common year starting on Saturday will be 2033.,NO,The next common year starting on Saturday is 2033.,4984,72.55506325,NO,
Who is the oldest Brazilian president at the time of inauguration?,Luiz InÃ¡cio Lula da Silva,"Luiz Inácio Lula da Silva is the oldest Brazilian president at the time of inauguration, taking office in 2023 at age 77.",NO,"Luiz Inácio Lula da Silva, who was 77 at his 2023 inauguration, is the oldest person to assume Brazil’s presidency.",6220,77.01618791,NO,
Who is the most recent female recipient of the Fields Medal?,Maryna Viazovska,"The most recent female recipient of the Fields Medal is Maryna Viazovska, awarded in 2022.",NO,"The most recent female recipient of the Fields Medal is Maryna Viazovska, awarded in 2022.",3285,39.03133273,NO,
How many FIFA World Cups has Argentina won?,3,"Argentina has won three FIFA World Cups (1978, 1986, and 2022).",NO,"Argentina has won three FIFA World Cups: 1978, 1986, and 2022.",3368,46.80559111,NO,
Which is the most recent team to advance to consecutive FIFA World Cup finals?,France,"The most recent team to advance to consecutive FIFA World Cup finals is France, which reached the finals in 2018 and 2022.",NO,"France, which reached the finals in 2018 and 2022.",3612,47.49489045,NO,
What is the total height of the tallest building in the world?,829.8 m,"The tallest building in the world, the Burj Khalifa in Dubai, has a total height of 828 meters (2,717 feet).",NO,"The tallest building in the world, the Burj Khalifa in Dubai, has a total height of 828 meters (2,717 feet).",6046,93.9362092,NO,
The UN Secretary general is from which country?,Portugal,"The UN Secretary-General, António Guterres, is from Portugal.",NO,"The UN Secretary-General, António Guterres, is from Portugal.",2982,44.99220419,NO,
Which actress' husband is a partial owner of Mint Mobile?,Blake Lively,The actress is Blake Lively.,NO,Blake Lively is the actress whose husband is a partial owner of Mint Mobile.,3645,53.76944089,NO,
Which country has President Joe Biden visited the most during his presidency so far?,United Kingdom,President Joe Biden has visited the United Kingdom more than any other country during his presidency so far.,NO,"Based on the provided context, it cannot be determined which country President Joe Biden has visited the most during his presidency so far.",3489,48.49278545,YES,
What is the seating capacity of the largest stadium by capacity in the world?,"132,000","The largest stadium by seating capacity in the world can seat 132,000 spectators.",NO,"The seating capacity of the largest stadium by capacity in the world is approximately 132,000.",4819,68.84696865,NO,
How many presidents of the United States have lost reelection?,10,Eleven presidents of the United States have lost reelection.,YES,Eleven presidents of the United States have lost reelection.,3632,41.07327366,YES,
Do Tesla and X Corp. have the same CEO?,No,"No, Tesla’s CEO is Elon Musk, while X Corp.’s CEO is Linda Yaccarino.",NO,"No, they have different CEOs: Tesla’s CEO is Elon Musk, while X Corp.’s CEO is Linda Yaccarino.",4133,64.04724717,NO,
In what city was the person currently acting as the U.S. speaker of house born?,"Shreveport, Louisiana","As of my last update in October 2024, the U.S. Speaker of the House, Mike Johnson, was born in Shreveport, Louisiana.",NO,"He was born in Shreveport, Louisiana.",4410,72.20805216,NO,
Which was the first country to detect a case of mpox in the most recent outbreak?,DR Congo,The United Kingdom was the first country to detect a case during the most recent mpox outbreak.,YES,Nigeria was the first country to detect a case in the most recent mpox outbreak.,3864,48.71699333,YES,
How many times has The PokÃ©mon World Championships been held in Asia?,one,The Pokémon World Championships has been held in Asia once.,NO,"It has been held in Asia once, in Yokohama, Japan, in 2023.",4802,60.310606,NO,
Who has the most liked post on Instagram?,Lionel Messi,Lionel Messi has the most liked post on Instagram.,NO,Lionel Messi has the most-liked post on Instagram—his 2022 World Cup celebration photo—with over 74 million likes as of December 2025.,3348,57.53324842,NO,
When was the most recent eruption of the world's largest active volcano?,"November 27, 2022 - December 13, 2022","The most recent eruption of the world's largest active volcano, Mauna Loa, began on November 27, 2022 (HST) and ended on December 13, 2022.",NO,"The most recent eruption of the world's largest active volcano, Mauna Loa, occurred from November 27 to December 13, 2022 (Hawaii Standard Time).",7170,125.7486198,NO,
How many active players have won at least five ATP Finals singles titles?,1,One active player has won at least five ATP Finals singles titles.,NO,There is one active player.,3756,53.8990345,NO,
Who directed the most films in the top 15 highest-grossing films of all time?,James Cameron,"James Cameron directed the most, with three films in the top 15 (Avatar, Titanic, and Avatar: The Way of Water).",NO,"James Cameron directed the most, with three films in the top 15—Avatar, Titanic, and Avatar: The Way of Water.",3760,66.67649603,NO,
Who bought the most expensive 20th century artwork sold in a public sale?,Larry Gagosian,Art dealer Larry Gagosian bought the most expensive 20th-century artwork sold in a public sale.,NO,"Larry Gagosian bought the most expensive 20th-century artwork sold in a public sale, winning Andy Warhol’s Shot Sage Blue Marilyn at auction in May 2022 for $195 million.",4084,56.81359363,NO,
How many flights of the Space Launch System have been successfully launched?,1,"As of now, only one Space Launch System flight has been successfully launched.",NO,One flight of the Space Launch System has been successfully launched: Artemis I in November 2022.,4442,51.58294702,NO,
What is the best ever result by an African team at a FIFA World Cup?,fourth-place,"Morocco’s 2022 FIFA World Cup run to the semifinals, where they finished fourth, is the best-ever result by an African team.",NO,Morocco’s fourth-place finish after reaching the semifinals at the 2022 FIFA World Cup is the best-ever result by an African team.,6069,77.23414016,NO,
What was the first animal to orbit the Earth?,Laika,"The first animal to orbit the Earth was Laika, a Soviet dog launched aboard Sputnik 2 in 1957.",NO,"Laika, a Soviet space dog, was the first animal to orbit Earth, launched aboard Sputnik 2 in 1957.",2989,39.06386423,NO,
What is the largest model size of GPT-3?,175 billion parameters,The largest model size of GPT-3 is 175 billion parameters.,NO,The largest GPT-3 model has 175 billion parameters.,3527,38.10897565,NO,
Which country has a red flag with one yellow star?,Vietnam,Vietnam has a red flag with one yellow star.,NO,Vietnam is the country with a red flag featuring a single yellow star.,2474,32.12561154,NO,
What city was connected with the earliest cases of COVID-19?,Wuhan,"The earliest cases of COVID-19 were connected with Wuhan, China.",NO,"Wuhan, China was connected with the earliest COVID-19 cases.",3280,41.57004833,NO,
What country has the most similar flag to that of Romania?,Chad,The country with the most similar flag to Romania is Chad.,NO,"Chad, as its flag is virtually identical to Romania’s, differing mainly in the shade of blue.",3256,52.75524831,NO,
What state is known as the Aloha State?,Hawaii,Hawaii is known as the Aloha State.,NO,Hawaii is known as the Aloha State.,2357,27.19302964,NO,
In what year will Google celebrate its 30th birthday?,2028,Google will celebrate its 30th birthday in 2028.,NO,Google will celebrate its 30th birthday in 2028.,3666,56.1436975,NO,
Where did Jeff Dean get his Ph.D. from?,University of Washington,Jeff Dean earned his Ph.D. in Computer Science from the University of Washington.,NO,Jeff Dean earned his Ph.D. in Computer Science from the University of Washington.,3862,49.60891199,NO,
What is the largest mammal in the world?,blue whale,The blue whale is the largest mammal in the world.,NO,The blue whale is the largest mammal in the world.,2957,33.43806481,NO,
What is the tallest mountain in Alaska?,Mount Denali,"The tallest mountain in Alaska is Denali (Mount McKinley), which rises to 20,310 feet (6,190 meters).",NO,"Denali (Mount McKinley) is the tallest mountain in Alaska, rising to 20,310 feet (6,190 meters).",3082,42.66001892,NO,
What breed of dog was Queen Elizabeth II of England famous for keeping?,Corgi,She was famous for keeping Pembroke Welsh Corgis.,NO,Queen Elizabeth II was famous for keeping Pembroke Welsh Corgis.,2949,29.14132285,NO,
What class of beer is top-fermenting?,ales,The top-fermenting class of beer is ale.,NO,Ale is the class of beer that is top-fermenting.,3504,44.79624414,NO,
Which country won the 2017 Eurovision Song Contest?,Portugal,Portugal won the 2017 Eurovision Song Contest.,NO,Portugal won the 2017 Eurovision Song Contest.,2941,38.06147075,NO,
What year did Intel go public?,1971,Intel went public in 1971.,NO,Intel went public in 1971.,3829,35.4268837,NO,
Who wrote the book titled Orientalism?,Edward W. SaÃ¯d,Edward W. Said wrote the book titled Orientalism.,NO,Edward W. Said wrote Orientalism.,2688,37.02185512,NO,
Sandstones are categorized into what type of sedimentary rocks?,clastic,Sandstones are categorized as clastic (detrital) sedimentary rocks.,NO,Sandstones are categorized as clastic (detrital) sedimentary rocks.,6242,90.54623413,NO,
"Did Queen Elizabeth II visit Rhode Island, USA?",Yes,"Yes, Queen Elizabeth II visited Newport, Rhode Island during her 1976 U.S. Bicentennial tour.",NO,"The provided context does not state that Queen Elizabeth II visited Rhode Island, USA.",14685,255.3314009,YES,
"In Greek mythology, what is the name of Menelaus' wife?",Helen of Troy,"Menelaus' wife is Helen, also known as Helen of Troy.",NO,"Menelaus’ wife is Helen, also known as Helen of Troy.",3790,60.20749855,NO,
Who won the 2020 Formula 1 world driver's championship?,Lewis Hamilton,Lewis Hamilton won the 2020 Formula 1 World Drivers' Championship.,NO,Lewis Hamilton won the 2020 Formula 1 World Drivers' Championship.,2926,32.78416061,NO,
What was the real name of the Unabomber?,Ted Kacsynzki,The Unabomber's real name was Theodore John Kaczynski.,NO,"The Unabomber's real name was Theodore John ""Ted"" Kaczynski.",3102,38.89842081,NO,
What are the starter pokemon available in Pokemon Diamond?,"Turtwig, Chimchar, and Piplup","The starter Pokémon in Pokémon Diamond are Turtwig, Chimchar, and Piplup.",NO,"The starter Pokémon in Pokémon Diamond are Turtwig, Chimchar, and Piplup.",3834,47.26740885,NO,
Where did the first atomic bomb test take place in the United States?,"Jornada del Muerto Desert, New Mexico","The first atomic bomb test in the United States took place at the Trinity Site on the White Sands Proving Ground near Alamogordo, New Mexico.",NO,"It took place at the Trinity Site on the White Sands Proving Ground near Alamogordo, New Mexico.",6146,93.66228986,NO,
How many lungs do slugs have?,1,Slugs have one lung.,NO,"Most land slugs have one lung, while sea slugs generally lack lungs and breathe with gills.",4318,72.87721515,NO,
On what date did the Berlin Wall fall?,9-Nov-89,"The Berlin Wall fell on November 9, 1989.",NO,"The Berlin Wall fell on November 9, 1989.",4575,59.59365463,NO,
On what date did Elvis Presley die?,16-Aug-77,"Elvis Presley died on August 16, 1977.",NO,"Elvis Presley died on August 16, 1977.",3252,41.06616282,NO,
Which Polish president died in a plane crash near Smolensk?,Lech KaczyÅski,The Polish president who died in a plane crash near Smolensk was Lech Kaczyński.,NO,Lech Kaczyński was the Polish president who died in a plane crash near Smolensk.,3063,53.1767838,NO,
What year did Japan bomb Pearl Harbor?,1941,Japan bombed Pearl Harbor in 1941.,NO,Japan bombed Pearl Harbor in 1941.,2859,36.25507975,NO,
When did David Bowie die?,2016,"David Bowie died on January 10, 2016.",NO,"David Bowie died on January 10, 2016.",2762,31.07970095,NO,
Who is the creator of Super Smash Bros.?,Masahiro Sakurai,The creator of Super Smash Bros. is Masahiro Sakurai.,NO,Masahiro Sakurai is the creator of Super Smash Bros.,3661,50.23869872,NO,
On what date was Lunar New Year 2023?,22-Jan-23,"Lunar New Year 2023 was on January 22, 2023.",NO,"Lunar New Year 2023 was on January 22, 2023.",4335,51.24017,NO,
"Is Sunderland, MA to the north or south of Amherst, MA?",north,"Sunderland, MA is to the north of Amherst, MA.",NO,"Sunderland, MA is north of Amherst, MA.",5058,68.52061963,NO,
